,Sharpe Ratio,Portfolio Annualised Return,Portfolio Annualised_Volatility,Stock Portfolio,Stocks Weight Allocation,Portfolio Tag
25,2.384658967935231,1.09,0.45,"['NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'APC']",[[ 0.   41.42 15.69  0.    0.    0.    0.    0.   42.89]],Very Good
44,2.3498744035765506,1.24,0.52,"['GOOG', 'NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   50.22  0.    0.    0.    0.    0.    0.   49.78]],Very Good
9,2.349874402757681,1.24,0.52,"['GOOGL', 'NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'CMCSA']",[[ 0.   50.22  0.    0.    0.    0.    0.    0.    0.   49.78]],Very Good
26,2.3498743959481,1.24,0.52,"['NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'CPB']",[[ 0.   50.21  0.    0.    0.    0.    0.    0.   49.79]],Very Good
24,2.349874395366522,1.24,0.52,"['NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'EXC']",[[ 0.   50.21  0.    0.    0.    0.    0.    0.   49.79]],Very Good
10,2.34987438570141,1.24,0.52,"['GOOGL', 'BKNG', 'NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   50.21  0.    0.    0.    0.    0.    0.    0.   49.79]],Very Good
22,2.349874377805172,1.24,0.52,"['NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   50.23  0.    0.    0.    0.    0.   49.77]],Very Good
43,2.3498742435382463,1.24,0.52,"['NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'CMCSA']",[[ 0.   50.25  0.    0.    0.    0.    0.    0.   49.75]],Very Good
33,2.349874235578043,1.24,0.52,"['GOOGL', 'BKNG', 'NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'CMCSA']",[[ 0.   50.19  0.    0.    0.    0.    0.    0.    0.    0.   49.81]],Very Good
32,2.3498742323339252,1.24,0.52,"['BKNG', 'NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'COTY']",[[ 0.   50.19  0.    0.    0.    0.    0.    0.    0.   49.81]],Very Good
34,2.3498740006081515,1.24,0.52,"['BKNG', 'NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'EXC']",[[ 0.   50.17  0.    0.    0.    0.    0.    0.    0.   49.83]],Very Good
23,2.349873983006663,1.24,0.52,"['NEE', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC', 'COTY']",[[ 0.   50.27  0.    0.    0.    0.    0.    0.   49.73]],Very Good
2,2.2647545334833312,1.42,0.62,"['EQIX', 'ESS', 'BIIB', 'AMD', 'MRO', 'HP']",[[62.14  0.85 37.01  0.    0.    0.  ]],Very Good
1,2.264754372314534,1.42,0.62,"['EQIX', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   62.12  0.    0.93  0.   36.96  0.    0.  ]],Very Good
28,2.2646684858679533,1.43,0.63,"['EQIX', 'AMZN', 'ESS', 'AMD', 'BAC']",[[62.48  0.    0.   37.52  0.  ]],Very Good
30,2.2646684825791725,1.43,0.63,"['EQIX', 'AMZN', 'ESS', 'AMD', 'CAG', 'BAC']",[[62.49  0.    0.    0.   37.51  0.  ]],Very Good
0,2.264668478852697,1.43,0.63,"['EQIX', 'ESS', 'AMD', 'CAG', 'BAC']",[[62.5  0.   0.  37.5  0. ]],Very Good
17,2.206327974238049,1.82,0.82,"['BKNG', 'BIIB', 'AMD', 'MRO', 'HP']",[[91.18  8.82  0.    0.    0.  ]],Very Good
18,2.2063279728176672,1.82,0.82,"['BKNG', 'AJG', 'BIIB', 'AMD', 'MRO', 'COTY']",[[ 0.   91.18  8.82  0.    0.    0.  ]],Very Good
14,2.2063279719396056,1.82,0.82,"['BKNG', 'AJG', 'BIIB', 'AMD', 'MRO', 'BAC']",[[ 0.   91.18  0.    8.82  0.    0.  ]],Very Good
40,2.2063279714083146,1.82,0.82,"['ESS', 'AJG', 'BIIB', 'AAPL', 'AMD', 'MRO', 'BAC', 'COTY']",[[ 0.    0.   91.18  0.    8.82  0.    0.    0.  ]],Very Good
38,2.2063279712025063,1.82,0.82,"['BKNG', 'ESS', 'AJG', 'BIIB', 'AMD', 'MRO', 'BAC', 'HP']",[[ 0.   91.18  0.    8.82  0.    0.    0.    0.  ]],Very Good
19,2.2063279706284455,1.82,0.82,"['BKNG', 'AJG', 'BIIB', 'AMD', 'MRO', 'EXC']",[[ 0.   91.18  8.82  0.    0.    0.  ]],Very Good
16,2.2063279699714173,1.82,0.82,"['BKNG', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   91.18  0.    8.82  0.    0.    0.  ]],Very Good
39,2.2063279692983273,1.82,0.82,"['ESS', 'AJG', 'BIIB', 'AAPL', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.    0.   91.18  0.    8.82  0.    0.    0.  ]],Very Good
8,2.206327969274539,1.82,0.82,"['GOOGL', 'BKNG', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   91.18  0.    8.82  0.    0.    0.    0.  ]],Very Good
5,2.206327968555518,1.82,0.82,"['AMZN', 'ESS', 'AJG', 'BIIB', 'AMD', 'CAG', 'MRO', 'BAC']",[[ 0.   91.18  0.    0.    8.82  0.    0.    0.  ]],Very Good
4,2.2010533662213274,1.96,0.88,"['AMZN', 'ESS', 'AMD', 'CAG', 'BAC']",[[100.   0.   0.   0.   0.]],Very Good
35,2.2010533662213274,1.96,0.88,"['EFX', 'AMD']",[[100.   0.]],Very Good
37,2.2010533662213274,1.96,0.88,"['BLK', 'AMD']",[[100.   0.]],Very Good
41,2.2010533662213274,1.96,0.88,"['CBS', 'AMD']",[[100.   0.]],Very Good
27,2.201053366221327,1.96,0.88,"['ESS', 'AAPL', 'AMD', 'CAG', 'BAC']",[[  0. 100.   0.   0.   0.]],Very Good
11,1.4603741557144554,0.52,0.35,"['GOOGL', 'CTXS']",[[100.   0.]],Good
3,1.3607438115624821,0.55,0.4,"['EQIX', 'ADBE']",[[27.2 72.8]],Good
13,1.145057205345196,0.4,0.34,"['APC', 'AZO']",[[40.51 59.49]],Good
